Best picture
Green Book
The Shape of Water
Moonlight
Spotlight
12 Years a Slave
Argo
The Artist
The Kings Speech
The Hurt Locker
Slumdog Millionaire
No Country for Old Men
The Departed
Crash
Million Dollar Baby
The Lord of the Rings: The Return of the King
Chicago
A Beautiful Mind
Gladiator
American Beauty
Shakespeare in Love
Titanic
The English Patient
Braveheart
Forrest Gump
Schindlers List
Unforgiven
The Silence of the Lambs
Dances With Wolves
Driving Miss Daisy
Rain Man
The Last Emperor
Platoon
Infinity War
Captain America
Minions
Transformers
